,pathway,gene_symbol
719,Galactose metabolism,ALDOA
720,Galactose metabolism,ALDOB
721,Galactose metabolism,ALDOC
722,Galactose metabolism,B4GALT1
723,Galactose metabolism,B4GALT2
724,Galactose metabolism,GALE
725,Galactose metabolism,GALK1
726,Galactose metabolism,GALK2
727,Galactose metabolism,GALT
728,Galactose metabolism,GLB1
729,Galactose metabolism,KHK
730,Galactose metabolism,LALBA
731,Galactose metabolism,LCT
732,Galactose metabolism,MGAM
733,Galactose metabolism,SI
734,Galactose metabolism,UGP2
735,Glutamate metabolism,ABAT
736,Glutamate metabolism,ALDH4A1
737,Glutamate metabolism,ALDH5A1
738,Glutamate metabolism,CPS1
739,Glutamate metabolism,FH
740,Glutamate metabolism,GAD1
741,Glutamate metabolism,GAD2
742,Glutamate metabolism,GLS
743,Glutamate metabolism,GLS2
744,Glutamate metabolism,GLUD1
745,Glutamate metabolism,GLUD2
746,Glutamate metabolism,GLUL
747,Glutamate metabolism,GPT
748,Glutamate metabolism,GPT2
749,Glutamate metabolism,GSR
750,Glutamate metabolism,LGSN
751,Glutathione metabolism,102724197_AT1
752,Glutathione metabolism,2679_AT1
753,Glutathione metabolism,ANPEP
754,Glutathione metabolism,GCLC
755,Glutathione metabolism,GCLM
756,Glutathione metabolism,GGCT
757,Glutathione metabolism,GGT1
758,Glutathione metabolism,GGT2
759,Glutathione metabolism,GGT5
760,Glutathione metabolism,GGT6
761,Glutathione metabolism,GGT7
762,Glutathione metabolism,GGTLC1
763,Glutathione metabolism,GGTLC2
764,Glutathione metabolism,GPX1
765,Glutathione metabolism,GPX2
766,Glutathione metabolism,GPX3
767,Glutathione metabolism,GPX4
768,Glutathione metabolism,GPX6
769,Glutathione metabolism,GPX7
770,Glutathione metabolism,GSR
771,Glutathione metabolism,GSS
772,Glutathione metabolism,OPLAH
773,Glutathione metabolism,PRDX1
774,Glutathione metabolism,PRDX2
775,Glutathione metabolism,PRDX3
776,Glycerophospholipid metabolism,2713_AT1
777,Glycerophospholipid metabolism,AADAC
778,Glycerophospholipid metabolism,ABHD5
779,Glycerophospholipid metabolism,ACHE
780,Glycerophospholipid metabolism,AGK
781,Glycerophospholipid metabolism,AGPAT1
782,Glycerophospholipid metabolism,AGPAT2
783,Glycerophospholipid metabolism,AGPAT3
784,Glycerophospholipid metabolism,AGPAT4
785,Glycerophospholipid metabolism,AGPAT5
786,Glycerophospholipid metabolism,AKR1A1
787,Glycerophospholipid metabolism,AKR1B1
788,Glycerophospholipid metabolism,BCHE
789,Glycerophospholipid metabolism,CDIPT
790,Glycerophospholipid metabolism,CDS1
791,Glycerophospholipid metabolism,CDS2
792,Glycerophospholipid metabolism,CEL
793,Glycerophospholipid metabolism,CEPT1
794,Glycerophospholipid metabolism,CHAT
795,Glycerophospholipid metabolism,CHKA
796,Glycerophospholipid metabolism,CHKB
797,Glycerophospholipid metabolism,CHPT1
798,Glycerophospholipid metabolism,CLC
799,Glycerophospholipid metabolism,CRLS1
800,Glycerophospholipid metabolism,DAGLA
801,Glycerophospholipid metabolism,DAGLB
802,Glycerophospholipid metabolism,DGKA
803,Glycerophospholipid metabolism,DGKB
804,Glycerophospholipid metabolism,DGKD
805,Glycerophospholipid metabolism,DGKE
806,Glycerophospholipid metabolism,DGKG
807,Glycerophospholipid metabolism,DGKH
808,Glycerophospholipid metabolism,DGKI
809,Glycerophospholipid metabolism,DGKQ
810,Glycerophospholipid metabolism,DGKZ
811,Glycerophospholipid metabolism,ENPP6
812,Glycerophospholipid metabolism,EPT1
813,Glycerophospholipid metabolism,ETNK1
814,Glycerophospholipid metabolism,ETNK2
815,Glycerophospholipid metabolism,ETNPPL
816,Glycerophospholipid metabolism,GK
817,Glycerophospholipid metabolism,GK2
818,Glycerophospholipid metabolism,GPCPD1
819,Glycerophospholipid metabolism,GPD1
820,Glycerophospholipid metabolism,GPD2
821,Glycerophospholipid metabolism,LCAT
822,Glycerophospholipid metabolism,LCLAT1
823,Glycerophospholipid metabolism,LGALS13
824,Glycerophospholipid metabolism,LIPC
825,Glycerophospholipid metabolism,LIPE
826,Glycerophospholipid metabolism,LIPF
827,Glycerophospholipid metabolism,LIPG
828,Glycerophospholipid metabolism,LPIN1
829,Glycerophospholipid metabolism,LPIN2
830,Glycerophospholipid metabolism,LPIN3
831,Glycerophospholipid metabolism,LPL
832,Glycerophospholipid metabolism,MBOAT1
833,Glycerophospholipid metabolism,MBOAT2
834,Glycerophospholipid metabolism,PAFAH1B1
835,Glycerophospholipid metabolism,PAFAH1B2
836,Glycerophospholipid metabolism,PAFAH1B3
837,Glycerophospholipid metabolism,PAFAH2
838,Glycerophospholipid metabolism,PCYT1A
839,Glycerophospholipid metabolism,PCYT1B
840,Glycerophospholipid metabolism,PCYT2
841,Glycerophospholipid metabolism,PEMT
842,Glycerophospholipid metabolism,PGS1
843,Glycerophospholipid metabolism,PHOSPHO1
844,Glycerophospholipid metabolism,PI4K2A
845,Glycerophospholipid metabolism,PI4KA
846,Glycerophospholipid metabolism,PI4KB
847,Glycerophospholipid metabolism,PIKFYVE
848,Glycerophospholipid metabolism,PIP4K2A
849,Glycerophospholipid metabolism,PIP4K2B
850,Glycerophospholipid metabolism,PIP4K2C
851,Glycerophospholipid metabolism,PIP5K1A
852,Glycerophospholipid metabolism,PIP5K1B
853,Glycerophospholipid metabolism,PIP5K1C
854,Glycerophospholipid metabolism,PISD
855,Glycerophospholipid metabolism,PLA2G10
856,Glycerophospholipid metabolism,PLA2G12A
857,Glycerophospholipid metabolism,PLA2G1B
858,Glycerophospholipid metabolism,PLA2G2A
859,Glycerophospholipid metabolism,PLA2G2D
860,Glycerophospholipid metabolism,PLA2G2E
861,Glycerophospholipid metabolism,PLA2G2F
862,Glycerophospholipid metabolism,PLA2G3
863,Glycerophospholipid metabolism,PLA2G4A
864,Glycerophospholipid metabolism,PLA2G4B
865,Glycerophospholipid metabolism,PLA2G4E
866,Glycerophospholipid metabolism,PLA2G5
867,Glycerophospholipid metabolism,PLA2G6
868,Glycerophospholipid metabolism,PLA2G7
869,Glycerophospholipid metabolism,PLD1
870,Glycerophospholipid metabolism,PLD2
871,Glycerophospholipid metabolism,PLD3
872,Glycerophospholipid metabolism,PLD4
873,Glycerophospholipid metabolism,PLD6
874,Glycerophospholipid metabolism,PLPP1
875,Glycerophospholipid metabolism,PLPP2
876,Glycerophospholipid metabolism,PLPP3
877,Glycerophospholipid metabolism,PLPP4
878,Glycerophospholipid metabolism,PLPP5
879,Glycerophospholipid metabolism,PLPPR2
880,Glycerophospholipid metabolism,PLPPR3
881,Glycerophospholipid metabolism,PLPPR4
882,Glycerophospholipid metabolism,PNLIP
883,Glycerophospholipid metabolism,PNLIPRP1
884,Glycerophospholipid metabolism,PNLIPRP2
885,Glycerophospholipid metabolism,PNLIPRP3
886,Glycerophospholipid metabolism,PNPLA2
887,Glycerophospholipid metabolism,PNPLA3
888,Glycerophospholipid metabolism,PNPLA4
889,Glycerophospholipid metabolism,PTDSS1
890,Glycerophospholipid metabolism,PTDSS2
891,Glycerophospholipid metabolism,PTPMT1
892,Glycerophospholipid metabolism,SGMS1
893,Glycerophospholipid metabolism,SGMS2
894,Glycerophospholipid metabolism,SGPL1
895,Glycerophospholipid metabolism,TKFC
896,Glycine serine alanine and threonine metabolism,8781_AT1
897,Glycine serine alanine and threonine metabolism,AGXT
898,Glycine serine alanine and threonine metabolism,ALAS1
899,Glycine serine alanine and threonine metabolism,ALAS2
900,Glycine serine alanine and threonine metabolism,ALDH7A1
901,Glycine serine alanine and threonine metabolism,AMT
902,Glycine serine alanine and threonine metabolism,AOC3
903,Glycine serine alanine and threonine metabolism,BHMT
904,Glycine serine alanine and threonine metabolism,BHMT2
905,Glycine serine alanine and threonine metabolism,CHDH
906,Glycine serine alanine and threonine metabolism,DLD
907,Glycine serine alanine and threonine metabolism,DMGDH
908,Glycine serine alanine and threonine metabolism,GCAT
909,Glycine serine alanine and threonine metabolism,GCSH
910,Glycine serine alanine and threonine metabolism,GLDC
911,Glycine serine alanine and threonine metabolism,GLYAT
912,Glycine serine alanine and threonine metabolism,GNMT
913,Glycine serine alanine and threonine metabolism,HAO1
914,Glycine serine alanine and threonine metabolism,HAO2
915,Glycine serine alanine and threonine metabolism,PDPR
916,Glycine serine alanine and threonine metabolism,PHGDH
917,Glycine serine alanine and threonine metabolism,PIPOX
918,Glycine serine alanine and threonine metabolism,PSAT1
919,Glycine serine alanine and threonine metabolism,PSPH
920,Glycine serine alanine and threonine metabolism,SDS
921,Glycine serine alanine and threonine metabolism,SDSL
922,Glycine serine alanine and threonine metabolism,SHMT1
923,Glycine serine alanine and threonine metabolism,SHMT2
924,Glycine serine alanine and threonine metabolism,THNSL1
925,Glycolysis/gluconeogenesis,286016_AT1
926,Glycolysis/gluconeogenesis,AACS
927,Glycolysis/gluconeogenesis,ACSS1
928,Glycolysis/gluconeogenesis,ACSS2
929,Glycolysis/gluconeogenesis,ACYP1
930,Glycolysis/gluconeogenesis,ACYP2
931,Glycolysis/gluconeogenesis,ADH1A
932,Glycolysis/gluconeogenesis,ADH1B
933,Glycolysis/gluconeogenesis,ADH1C
934,Glycolysis/gluconeogenesis,ADH4
935,Glycolysis/gluconeogenesis,ADH5
936,Glycolysis/gluconeogenesis,ADH6
937,Glycolysis/gluconeogenesis,ADH7
938,Glycolysis/gluconeogenesis,ADHFE1
939,Glycolysis/gluconeogenesis,AKR1A1
940,Glycolysis/gluconeogenesis,ALDH1A1
941,Glycolysis/gluconeogenesis,ALDH1A2
942,Glycolysis/gluconeogenesis,ALDH1A3
943,Glycolysis/gluconeogenesis,ALDH1B1
944,Glycolysis/gluconeogenesis,ALDH2
945,Glycolysis/gluconeogenesis,ALDH3A1
946,Glycolysis/gluconeogenesis,ALDH3A2
947,Glycolysis/gluconeogenesis,ALDH3B1
948,Glycolysis/gluconeogenesis,ALDH3B2
949,Glycolysis/gluconeogenesis,ALDH7A1
950,Glycolysis/gluconeogenesis,ALDH9A1
951,Glycolysis/gluconeogenesis,ALDOA
952,Glycolysis/gluconeogenesis,ALDOB
953,Glycolysis/gluconeogenesis,ALDOC
954,Glycolysis/gluconeogenesis,BPGM
955,Glycolysis/gluconeogenesis,CAT
956,Glycolysis/gluconeogenesis,CYP2E1
957,Glycolysis/gluconeogenesis,DLAT
958,Glycolysis/gluconeogenesis,DLD
959,Glycolysis/gluconeogenesis,ENO1
960,Glycolysis/gluconeogenesis,ENO2
961,Glycolysis/gluconeogenesis,ENO3
962,Glycolysis/gluconeogenesis,FBP1
963,Glycolysis/gluconeogenesis,FBP2
964,Glycolysis/gluconeogenesis,G6PC
965,Glycolysis/gluconeogenesis,G6PC2
966,Glycolysis/gluconeogenesis,G6PC3
967,Glycolysis/gluconeogenesis,GAPDH
968,Glycolysis/gluconeogenesis,GAPDHS
969,Glycolysis/gluconeogenesis,GCK
970,Glycolysis/gluconeogenesis,GPD1
971,Glycolysis/gluconeogenesis,GPD2
972,Glycolysis/gluconeogenesis,GPI
973,Glycolysis/gluconeogenesis,HK1
974,Glycolysis/gluconeogenesis,HK2
975,Glycolysis/gluconeogenesis,HK3
976,Glycolysis/gluconeogenesis,HKDC1
977,Glycolysis/gluconeogenesis,LDHA
978,Glycolysis/gluconeogenesis,LDHAL6A
979,Glycolysis/gluconeogenesis,LDHAL6B
980,Glycolysis/gluconeogenesis,LDHB
981,Glycolysis/gluconeogenesis,LDHC
982,Glycolysis/gluconeogenesis,MIA3
983,Glycolysis/gluconeogenesis,PCK1
984,Glycolysis/gluconeogenesis,PCK2
985,Glycolysis/gluconeogenesis,PDHA1
986,Glycolysis/gluconeogenesis,PDHA2
987,Glycolysis/gluconeogenesis,PDHB
988,Glycolysis/gluconeogenesis,PDHX
989,Glycolysis/gluconeogenesis,PFKL
990,Glycolysis/gluconeogenesis,PFKM
991,Glycolysis/gluconeogenesis,PFKP
992,Glycolysis/gluconeogenesis,PGAM1
993,Glycolysis/gluconeogenesis,PGAM2
994,Glycolysis/gluconeogenesis,PGK1
995,Glycolysis/gluconeogenesis,PGK2
996,Glycolysis/gluconeogenesis,PGM1
997,Glycolysis/gluconeogenesis,PGM2
998,Glycolysis/gluconeogenesis,PKLR
999,Glycolysis/gluconeogenesis,PKM
1000,Glycolysis/gluconeogenesis,RWDD2A
1001,Glycolysis/gluconeogenesis,TPI1
1002,Glycolysis/gluconeogenesis,UEVLD
1003,Glycolysis/gluconeogenesis,ZADH2
1004,Glycosphingolipid metabolism,ABO
1005,Glycosphingolipid metabolism,B3GALNT1
1006,Glycosphingolipid metabolism,B3GALT1
1007,Glycosphingolipid metabolism,B3GALT2
1008,Glycosphingolipid metabolism,B3GALT4
1009,Glycosphingolipid metabolism,B3GALT5
1010,Glycosphingolipid metabolism,B3GNT2
1011,Glycosphingolipid metabolism,B3GNT3
1012,Glycosphingolipid metabolism,B3GNT4
1013,Glycosphingolipid metabolism,B3GNT5
1014,Glycosphingolipid metabolism,B4GALNT1
1015,Glycosphingolipid metabolism,B4GALT1
1016,Glycosphingolipid metabolism,B4GALT2
1017,Glycosphingolipid metabolism,B4GALT3
1018,Glycosphingolipid metabolism,B4GALT4
1019,Glycosphingolipid metabolism,B4GALT6
1020,Glycosphingolipid metabolism,B4GAT1
1021,Glycosphingolipid metabolism,FUT1
1022,Glycosphingolipid metabolism,FUT2
1023,Glycosphingolipid metabolism,FUT3
1024,Glycosphingolipid metabolism,FUT4
1025,Glycosphingolipid metabolism,FUT5
1026,Glycosphingolipid metabolism,FUT6
1027,Glycosphingolipid metabolism,FUT7
1028,Glycosphingolipid metabolism,FUT9
1029,Glycosphingolipid metabolism,GALC
1030,Glycosphingolipid metabolism,GBGT1
1031,Glycosphingolipid metabolism,GCNT2
1032,Glycosphingolipid metabolism,GLA
1033,Glycosphingolipid metabolism,GLB1
1034,Glycosphingolipid metabolism,GLB1L
1035,Glycosphingolipid metabolism,GM2A
1036,Glycosphingolipid metabolism,HEXA
1037,Glycosphingolipid metabolism,HEXB
1038,Glycosphingolipid metabolism,HEXDC
1039,Glycosphingolipid metabolism,LCT
1040,Glycosphingolipid metabolism,NAGA
1041,Glycosphingolipid metabolism,NEU1
1042,Glycosphingolipid metabolism,NEU2
1043,Glycosphingolipid metabolism,NEU3
1044,Glycosphingolipid metabolism,NEU4
1045,Glycosphingolipid metabolism,ST3GAL1
1046,Glycosphingolipid metabolism,ST3GAL2
1047,Glycosphingolipid metabolism,ST3GAL4
1048,Glycosphingolipid metabolism,ST3GAL5
1049,Glycosphingolipid metabolism,ST3GAL6
1050,Glycosphingolipid metabolism,ST6GALNAC2
1051,Glycosphingolipid metabolism,ST6GALNAC3
1052,Glycosphingolipid metabolism,ST6GALNAC4
1053,Glycosphingolipid metabolism,ST6GALNAC5
1054,Glycosphingolipid metabolism,ST6GALNAC6
1055,Glycosphingolipid metabolism,ST8SIA1
1056,Glycosphingolipid metabolism,ST8SIA5
1057,Glycosphingolipid metabolism,UGT8
1058,Glyoxylate and dicarboxylate metabolism,ALDH18A1
1059,Glyoxylate and dicarboxylate metabolism,ALDH1A1
1060,Glyoxylate and dicarboxylate metabolism,ALDH1A2
1061,Glyoxylate and dicarboxylate metabolism,ALDH1A3
1062,Glyoxylate and dicarboxylate metabolism,ALDH1B1
1063,Glyoxylate and dicarboxylate metabolism,ALDH2
1064,Glyoxylate and dicarboxylate metabolism,ALDH3A1
1065,Glyoxylate and dicarboxylate metabolism,ALDH3A2
1066,Glyoxylate and dicarboxylate metabolism,ALDH3B1
1067,Glyoxylate and dicarboxylate metabolism,ALDH3B2
1068,Glyoxylate and dicarboxylate metabolism,ALDH4A1
1069,Glyoxylate and dicarboxylate metabolism,ALDH5A1
1070,Glyoxylate and dicarboxylate metabolism,ALDH6A1
1071,Glyoxylate and dicarboxylate metabolism,ALDH7A1
1072,Glyoxylate and dicarboxylate metabolism,ALDH9A1
1073,Glyoxylate and dicarboxylate metabolism,ALDOA
1074,Glyoxylate and dicarboxylate metabolism,ALDOB
1075,Glyoxylate and dicarboxylate metabolism,ALDOC
1076,Glyoxylate and dicarboxylate metabolism,GRHPR
1077,Glyoxylate and dicarboxylate metabolism,HAO1
1078,Glyoxylate and dicarboxylate metabolism,HAO2
1079,Glyoxylate and dicarboxylate metabolism,KHK
1080,Glyoxylate and dicarboxylate metabolism,LDHA
1081,Glyoxylate and dicarboxylate metabolism,LDHAL6A
1082,Glyoxylate and dicarboxylate metabolism,LDHAL6B
1083,Glyoxylate and dicarboxylate metabolism,LDHB
1084,Glyoxylate and dicarboxylate metabolism,LDHC
1085,Glyoxylate and dicarboxylate metabolism,LDHD
1086,Glyoxylate and dicarboxylate metabolism,UEVLD
1087,Heme degradation,BLVRA
1088,Heme degradation,BLVRB
1089,Heme degradation,HMOX1
1090,Heme degradation,HMOX2
1091,Heme degradation,UGT1A8
1092,Heme synthesis,ALAD
1093,Heme synthesis,BLVRA
1094,Heme synthesis,BLVRB
1095,Heme synthesis,CPOX
1096,Heme synthesis,CYBRD1
1097,Heme synthesis,FECH
1098,Heme synthesis,HMBS
1099,Heme synthesis,PPOX
1100,Heme synthesis,UROD
1101,Heme synthesis,UROS
1102,Heparan sulfate degradation,GNS
1103,Heparan sulfate degradation,GUSB
1104,Heparan sulfate degradation,IDS
1105,Heparan sulfate degradation,IDUA
1106,Heparan sulfate degradation,NAGLU
1107,Heparan sulfate degradation,SGSH
1108,Histidine metabolism,ALDH1A1
1109,Histidine metabolism,ALDH1A2
1110,Histidine metabolism,ALDH1A3
1111,Histidine metabolism,ALDH3A1
1112,Histidine metabolism,ALDH3A2
1113,Histidine metabolism,ALDH3B1
1114,Histidine metabolism,ALDH3B2
1115,Histidine metabolism,ALDH7A1
1116,Histidine metabolism,ALDH9A1
1117,Histidine metabolism,AMDHD1
1118,Histidine metabolism,AOC1
1119,Histidine metabolism,AOC2
1120,Histidine metabolism,AOC3
1121,Histidine metabolism,DDC
1122,Histidine metabolism,FTCD
1123,Histidine metabolism,HAL
1124,Histidine metabolism,HDC
1125,Histidine metabolism,HNMT
1126,Histidine metabolism,MAOB
1127,Histidine metabolism,UROC1
1128,Hyaluronan metabolism,GUSB
1129,Hyaluronan metabolism,HAS1
1130,Hyaluronan metabolism,HAS2
1131,Hyaluronan metabolism,HAS3
1132,Hyaluronan metabolism,HEXA
1133,Hyaluronan metabolism,HEXB
1134,Hyaluronan metabolism,HYAL3
1135,Inositol phosphate metabolism,CTDSPL2
1136,Inositol phosphate metabolism,DUSP11
1137,Inositol phosphate metabolism,FIG4
1138,Inositol phosphate metabolism,HCST
1139,Inositol phosphate metabolism,IMPA1
1140,Inositol phosphate metabolism,IMPA2
1141,Inositol phosphate metabolism,INPP1
1142,Inositol phosphate metabolism,INPP4A
1143,Inositol phosphate metabolism,INPP4B
1144,Inositol phosphate metabolism,INPP5A
1145,Inositol phosphate metabolism,INPP5B
1146,Inositol phosphate metabolism,INPP5D
1147,Inositol phosphate metabolism,INPP5E
1148,Inositol phosphate metabolism,INPP5F
1149,Inositol phosphate metabolism,INPP5J
1150,Inositol phosphate metabolism,INPPL1
1151,Inositol phosphate metabolism,IP6K1
1152,Inositol phosphate metabolism,IP6K2
1153,Inositol phosphate metabolism,IP6K3
1154,Inositol phosphate metabolism,ISYNA1
1155,Inositol phosphate metabolism,ITPK1
1156,Inositol phosphate metabolism,ITPKA
1157,Inositol phosphate metabolism,ITPKB
1158,Inositol phosphate metabolism,ITPKC
1159,Inositol phosphate metabolism,MDP1
1160,Inositol phosphate metabolism,MINPP1
1161,Inositol phosphate metabolism,MIOX
1162,Inositol phosphate metabolism,MTMR1
1163,Inositol phosphate metabolism,MTMR14
1164,Inositol phosphate metabolism,MTMR2
1165,Inositol phosphate metabolism,MTMR6
1166,Inositol phosphate metabolism,MTMR7
1167,Inositol phosphate metabolism,MTMR8
1168,Inositol phosphate metabolism,NT5C
1169,Inositol phosphate metabolism,NT5DC3
1170,Inositol phosphate metabolism,NT5M
1171,Inositol phosphate metabolism,OCRL
1172,Inositol phosphate metabolism,PHPT1
1173,Inositol phosphate metabolism,PI4K2A
1174,Inositol phosphate metabolism,PI4KA
1175,Inositol phosphate metabolism,PI4KB
1176,Inositol phosphate metabolism,PIGF
1177,Inositol phosphate metabolism,PIGG
1178,Inositol phosphate metabolism,PIGN
1179,Inositol phosphate metabolism,PIK3C2A
1180,Inositol phosphate metabolism,PIK3C2B
1181,Inositol phosphate metabolism,PIK3C2G
1182,Inositol phosphate metabolism,PIK3C3
1183,Inositol phosphate metabolism,PIK3CA
1184,Inositol phosphate metabolism,PIK3CB
1185,Inositol phosphate metabolism,PIK3CD
1186,Inositol phosphate metabolism,PIK3CG
1187,Inositol phosphate metabolism,PIK3R1
1188,Inositol phosphate metabolism,PIK3R2
1189,Inositol phosphate metabolism,PIK3R3
1190,Inositol phosphate metabolism,PIK3R5
1191,Inositol phosphate metabolism,PIP5K1A
1192,Inositol phosphate metabolism,PIP5K1B
1193,Inositol phosphate metabolism,PIP5K1C
1194,Inositol phosphate metabolism,PIP5KL1
1195,Inositol phosphate metabolism,PLCB1
1196,Inositol phosphate metabolism,PLCB2
1197,Inositol phosphate metabolism,PLCB3
1198,Inositol phosphate metabolism,PLCB4
1199,Inositol phosphate metabolism,PLCD1
1200,Inositol phosphate metabolism,PLCD3
1201,Inositol phosphate metabolism,PLCD4
1202,Inositol phosphate metabolism,PLCE1
1203,Inositol phosphate metabolism,PLCG1
1204,Inositol phosphate metabolism,PLCG2
1205,Inositol phosphate metabolism,PLCH1
1206,Inositol phosphate metabolism,PLCH2
1207,Inositol phosphate metabolism,PLCL1
1208,Inositol phosphate metabolism,PLCXD2
1209,Inositol phosphate metabolism,PLCZ1
1210,Inositol phosphate metabolism,PLPP6
1211,Inositol phosphate metabolism,PLPP7
1212,Inositol phosphate metabolism,PLPPR5
1213,Inositol phosphate metabolism,PMPCA
1214,Inositol phosphate metabolism,PPIP5K1
1215,Inositol phosphate metabolism,PPIP5K2
1216,Inositol phosphate metabolism,PTEN
1217,Inositol phosphate metabolism,PTPDC1
1218,Inositol phosphate metabolism,PTPRQ
1219,Inositol phosphate metabolism,SACM1L
1220,Inositol phosphate metabolism,SGPP1
1221,Inositol phosphate metabolism,SGPP2
1222,Inositol phosphate metabolism,SYNJ1
1223,Inositol phosphate metabolism,SYNJ2
1224,Inositol phosphate metabolism,TNS2
1225,Inositol phosphate metabolism,TPTE2
1226,Keratan sulfate degradation,AGA
1227,Keratan sulfate degradation,CTSA
1228,Keratan sulfate degradation,FUCA1
1229,Keratan sulfate degradation,FUCA2
1230,Keratan sulfate degradation,GALNS
1231,Keratan sulfate degradation,GLB1
1232,Keratan sulfate degradation,GNS
1233,Keratan sulfate degradation,HEXA
1234,Keratan sulfate degradation,HEXB
1235,Keratan sulfate degradation,NAGA
1236,Keratan sulfate degradation,NEU1
1237,Keratan sulfate synthesis,B3GNT2
1238,Keratan sulfate synthesis,B3GNT3
1239,Keratan sulfate synthesis,B3GNT4
1240,Keratan sulfate synthesis,B3GNT7
1241,Keratan sulfate synthesis,B3GNT8
1242,Keratan sulfate synthesis,B3GNTL1
1243,Keratan sulfate synthesis,B4GALT1
1244,Keratan sulfate synthesis,B4GALT2
1245,Keratan sulfate synthesis,B4GALT3
1246,Keratan sulfate synthesis,B4GALT5
1247,Keratan sulfate synthesis,B4GAT1
1248,Keratan sulfate synthesis,CHST1
1249,Keratan sulfate synthesis,CHST2
1250,Keratan sulfate synthesis,CHST3
1251,Keratan sulfate synthesis,CHST4
1252,Keratan sulfate synthesis,CHST5
1253,Keratan sulfate synthesis,CHST6
1254,Keratan sulfate synthesis,ST3GAL1
1255,Keratan sulfate synthesis,ST3GAL2
1256,Keratan sulfate synthesis,ST3GAL4
1257,Leukotriene metabolism,2679_AT1
1258,Leukotriene metabolism,ADH1A
1259,Leukotriene metabolism,ADH1B
1260,Leukotriene metabolism,ADH1C
1261,Leukotriene metabolism,ADH4
1262,Leukotriene metabolism,ADH5
1263,Leukotriene metabolism,ADH6
1264,Leukotriene metabolism,ADH7
1265,Leukotriene metabolism,ADHFE1
1266,Leukotriene metabolism,CBR1
1267,Leukotriene metabolism,CBR3
1268,Leukotriene metabolism,CYP4F11
1269,Leukotriene metabolism,CYP4F2
1270,Leukotriene metabolism,CYP4F22
1271,Leukotriene metabolism,CYP4F3
1272,Leukotriene metabolism,CYP4F8
1273,Leukotriene metabolism,DHRS4
1274,Leukotriene metabolism,DPEP1
1275,Leukotriene metabolism,DPEP2
1276,Leukotriene metabolism,DPEP3
1277,Leukotriene metabolism,GGT1
1278,Leukotriene metabolism,GGT5
1279,Leukotriene metabolism,GGT6
1280,Leukotriene metabolism,GGT7
1281,Leukotriene metabolism,LTC4S
1282,Limonene and pinene degradation,CYP2C19
1283,Limonene and pinene degradation,CYP2C9
1284,Linoleate metabolism,ALOX15
1285,Linoleate metabolism,ALOX15B
1286,Linoleate metabolism,CYP19A1
1287,Linoleate metabolism,CYP1A1
1288,Linoleate metabolism,CYP1A2
1289,Linoleate metabolism,CYP1B1
1290,Linoleate metabolism,CYP2A13
1291,Linoleate metabolism,CYP2A6
1292,Linoleate metabolism,CYP2A7
1293,Linoleate metabolism,CYP2B6
1294,Linoleate metabolism,CYP2C18
1295,Linoleate metabolism,CYP2C19
1296,Linoleate metabolism,CYP2C8
1297,Linoleate metabolism,CYP2C9
1298,Linoleate metabolism,CYP2D6
1299,Linoleate metabolism,CYP2E1
1300,Linoleate metabolism,CYP2F1
1301,Linoleate metabolism,CYP2J2
1302,Linoleate metabolism,CYP2S1
1303,Linoleate metabolism,CYP2U1
1304,Linoleate metabolism,CYP3A4
1305,Linoleate metabolism,CYP3A43
1306,Linoleate metabolism,CYP3A5
1307,Linoleate metabolism,CYP3A7
1308,Linoleate metabolism,CYP4B1
1309,Linoleate metabolism,CYP4F11
1310,Linoleate metabolism,CYP4F12
1311,Linoleate metabolism,CYP4F8
1312,Linoleate metabolism,CYP4X1
1313,Linoleate metabolism,CYP4Z1
1314,Linoleate metabolism,EPHX2
1315,Lipoate metabolism,DLD
1316,Lysine metabolism,AADAT
1317,Lysine metabolism,AASS
1318,Lysine metabolism,ALDH7A1
1319,Lysine metabolism,ALDH9A1
1320,Lysine metabolism,ASH1L
1321,Lysine metabolism,BBOX1
1322,Lysine metabolism,DLD
1323,Lysine metabolism,DLST
1324,Lysine metabolism,DOT1L
1325,Lysine metabolism,EHMT1
1326,Lysine metabolism,EHMT2
1327,Lysine metabolism,KMT2A
1328,Lysine metabolism,KMT2B
1329,Lysine metabolism,KMT2C
1330,Lysine metabolism,KMT2D
1331,Lysine metabolism,KMT2E
1332,Lysine metabolism,KMT5A
1333,Lysine metabolism,KMT5B
1334,Lysine metabolism,KMT5C
1335,Lysine metabolism,NSD1
1336,Lysine metabolism,OGDH
1337,Lysine metabolism,PDHX
1338,Lysine metabolism,PIPOX
1339,Lysine metabolism,SEC11A
1340,Lysine metabolism,SEC11C
1341,Lysine metabolism,SETD1A
1342,Lysine metabolism,SETD1B
1343,Lysine metabolism,SETD2
1344,Lysine metabolism,SETD7
1345,Lysine metabolism,SETDB1
1346,Lysine metabolism,SETDB2
1347,Lysine metabolism,SETMAR
1348,Lysine metabolism,SHMT1
1349,Lysine metabolism,SLC25A21
1350,Lysine metabolism,SMYD3
1351,Lysine metabolism,SPCS1
1352,Lysine metabolism,SPCS2
1353,Lysine metabolism,SPCS3
1354,Lysine metabolism,SUV39H1
1355,Lysine metabolism,SUV39H2
1356,Lysine metabolism,TMLHE
1357,Lysine metabolism,WHSC1
1358,Lysine metabolism,WHSC1L1
1359,Methionine and cysteine metabolism,ACY1
1360,Methionine and cysteine metabolism,ADI1
1361,Methionine and cysteine metabolism,AHCY
